"boxes_stylist_coral_serify","UPCOMING EVENTS"
"boxes_stylist_gray_serify","FIND OUT ABOUT"
"boxes_recent_blog_coral_serif","Blog Post"
"boxes_recent_blog_gray_serif","Most Recent Blog Post"
"boxes_consignor_coral_serif","FIND OUT HOW YOU CAN BE OUR NEXT CONSIGNOR"
"boxes_consignor_header","Consignors"
"boxes_consignor_text","HUNDREDS HAVE SOLD THEIR<br />DRESSES FAST AND EASILY <br />AT ENCORE BRIDAL."
"boxes_learn_more","learn more"
"boxes_about_us","ABOUT US"
"footer_1column_header","For Brides"
"footer_2column_header","Consignors"
"footer_3column_header","ABOUT"
"footer_4column_header","Customer Service"
